CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE,SOIL_PH,SOIL_PH_HIGH,CROPDURATION,CROPDURATION_MAX,TEMP,MAX_TEMP,WATERREQUIRED,WATERREQUIRED_MAX,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_MAX,N,N_MAX,P,P_MAX,K,K_MAX
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.6,8,116.9,150,26.9,40,2462.3,2500,73.8,80,82.4,100,40.7,60,42.2,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.2,8,117.9,150,35.8,40,1237.5,2500,60.9,80,90.5,100,51.3,60,46.2,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.7,8,117.7,150,34.9,40,1075.1,2500,67.5,80,86.2,100,50.7,60,44.4,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,6.1,8,149.8,150,28.3,40,1549.9,2500,73.6,80,91.3,100,51.3,60,44.5,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,8,8,131.7,150,26.3,40,1306.4,2500,60.3,80,81.3,100,48.6,60,51,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.9,8,137.7,150,28.3,40,1048.8,2500,60.9,80,97.6,100,40.1,60,56.3,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.3,8,143.3,150,25.7,40,1082.8,2500,70.1,80,84.2,100,54.4,60,43,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.4,8,132.8,150,34.4,40,903.9,2500,73.4,80,96,100,40.2,60,52.7,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.6,8,115.8,150,25.1,40,1049.7,2500,76.7,80,90.7,100,48.5,60,40.4,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.9,8,116.9,150,26.4,40,1390.5,2500,73.2,80,87.6,100,59.2,60,42.5,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.5,8,112.8,150,33.6,40,1140.8,2500,62.8,80,88.8,100,52.5,60,56.6,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.1,8,122.1,150,35.3,40,2158.4,2500,71.9,80,86.9,100,54.1,60,59.4,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.3,8,124.5,150,21.5,40,1016.3,2500,61.3,80,83.4,100,59.8,60,47.6,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.4,8,121.7,150,32.8,40,1690.2,2500,60.7,80,89.9,100,44.3,60,47.1,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.9,8,133.5,150,22.8,40,1645.3,2500,78.6,80,86.3,100,53.3,60,57.8,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,8,8,118.8,150,27.6,40,2333.1,2500,68,80,98.7,100,45.9,60,50,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7,8,123.9,150,27.9,40,1645,2500,63.4,80,91.8,100,53.3,60,53.9,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5,8,116.7,150,34.9,40,1624.2,2500,79.6,80,84.3,100,54.6,60,50.8,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.6,8,139.2,150,28.5,40,1099.5,2500,64.3,80,87.9,100,47.6,60,53.8,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.1,8,122.7,150,37.5,40,1755.5,2500,75.7,80,84.3,100,59.4,60,53.5,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.8,8,142,150,23.5,40,2158.8,2500,65.8,80,86.7,100,59.4,60,44.7,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.7,8,124.1,150,28.6,40,1786.1,2500,61.9,80,99.5,100,42.3,60,40.6,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.1,8,150,150,34.6,40,957.1,2500,72.5,80,94.5,100,49.6,60,59.4,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6,8,134.7,150,34.9,40,986.5,2500,79.9,80,85.2,100,54.9,60,53.1,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.9,8,142,150,26.2,40,1312.2,2500,66.3,80,88.5,100,42.7,60,57.3,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.5,8,143.4,150,31.6,40,2430.5,2500,67.2,80,97.2,100,48.5,60,49.1,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.1,8,135.7,150,20.2,40,1149.1,2500,69.3,80,99.8,100,54.4,60,44.8,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,6.7,8,128.8,150,32.2,40,1451.8,2500,75.5,80,92.9,100,51.9,60,53.7,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.8,8,116.6,150,37.2,40,962.1,2500,75,80,95.9,100,57.5,60,54.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.8,8,135.1,150,31.6,40,1538,2500,66.3,80,93.6,100,45,60,55.1,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.6,8,130.1,150,20.9,40,1535.2,2500,67.1,80,80.2,100,40.4,60,56.5,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.5,8,128.2,150,26.9,40,1261.3,2500,63.8,80,99.6,100,46.9,60,44,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.3,8,134.9,150,30,40,1199.3,2500,62.1,80,96.8,100,43.2,60,58.9,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.4,8,116.3,150,30.3,40,1672.8,2500,69.9,80,89,100,53.6,60,44,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.7,8,140.2,150,35.5,40,2042.1,2500,60.8,80,91.3,100,53.6,60,56.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5,8,113.3,150,30.8,40,2072.5,2500,63.4,80,87.7,100,42.4,60,58.2,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.5,8,139.2,150,26.7,40,1657.1,2500,75.9,80,99.6,100,46.1,60,53.9,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.1,8,120.5,150,36.6,40,1442.5,2500,67.3,80,80.8,100,46.8,60,59.9,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6,8,130.6,150,39.2,40,911.5,2500,69.2,80,82.2,100,44.4,60,56.6,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,6.8,8,117.8,150,22.7,40,2464.4,2500,67.2,80,90.7,100,41.5,60,59.6,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.8,8,131.1,150,34.1,40,1814.8,2500,78.9,80,99.3,100,58.1,60,50.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.2,8,129.9,150,38.3,40,1236.2,2500,60.1,80,97.6,100,47.1,60,58.3,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.6,8,131.9,150,34.9,40,1298.1,2500,67.5,80,88.1,100,45.3,60,52.9,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.8,8,110.1,150,33.7,40,1766.4,2500,75.7,80,82.9,100,41.3,60,40.1,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.9,8,114.3,150,31.7,40,2354.1,2500,76.7,80,89.1,100,59.1,60,46.7,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.6,8,114.8,150,29.1,40,968.9,2500,67.1,80,86.2,100,41.4,60,55.4,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.6,8,119,150,35.4,40,1578.8,2500,75.3,80,96.6,100,47.4,60,57.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5,8,131.3,150,28.2,40,2488.8,2500,75.5,80,90,100,43.5,60,59.9,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.7,8,120.7,150,31.1,40,1571.3,2500,75.1,80,81.1,100,54.5,60,54.5,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.6,8,118.4,150,29.1,40,1257.2,2500,65.5,80,90.8,100,55.7,60,41.9,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.4,8,133.5,150,25.1,40,2074.2,2500,70.3,80,85.3,100,53.5,60,42,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7,8,127.3,150,39.5,40,1959.3,2500,75.7,80,90.3,100,53.6,60,57.2,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.7,8,123.5,150,36.7,40,1212.6,2500,61.2,80,93.2,100,57.2,60,47.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6,8,145.6,150,20.2,40,1853.1,2500,72.8,80,81.9,100,53.7,60,57.8,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.6,8,115.5,150,35.7,40,1720.9,2500,60.2,80,91.1,100,50.9,60,44.2,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6,8,149.1,150,29.6,40,2243.7,2500,68.9,80,96.2,100,41.1,60,44.8,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.8,8,147.3,150,38.3,40,1979.1,2500,63.7,80,94.8,100,43.8,60,54.9,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.5,8,147.7,150,25.3,40,1696.4,2500,60.6,80,94.4,100,52.2,60,40.8,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.5,8,110.2,150,38.3,40,2290,2500,64.9,80,92.3,100,54,60,56.2,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.3,8,132.1,150,32.1,40,1487.6,2500,71,80,82.2,100,55.2,60,41.3,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.3,8,111.8,150,39.5,40,1971.1,2500,74.2,80,83,100,58.2,60,51.8,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.8,8,145.1,150,25.6,40,1496.2,2500,71.5,80,96.4,100,51.4,60,43.3,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.4,8,116.9,150,31.4,40,1873.5,2500,77.1,80,90.3,100,40.2,60,46.9,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.6,8,110.4,150,32.5,40,1208,2500,72.9,80,92.2,100,56.3,60,46.4,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.8,8,122.6,150,27.2,40,1701.6,2500,67.8,80,97.9,100,47.5,60,40.1,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.6,8,135.3,150,39.3,40,1405,2500,74.3,80,80.4,100,53.1,60,42.3,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.1,8,128.8,150,26,40,2153.4,2500,68.7,80,89.6,100,46.3,60,41.4,60
