CROPS,SOIL,N,P,K,TEMP,RELATIVE_HUMIDITY,SOIL_PH
rice,Alluvial soil,82.4,40.7,42.2,26.9,73.8,7.6
rice,Loamy soil,90.5,51.3,46.2,35.8,60.9,6.2
rice,Clay soil,86.2,50.7,44.4,34.9,67.5,6.7
rice,Alluvial soil,91.3,51.3,44.5,28.3,73.6,6.1
rice,Loamy soil,81.3,48.6,51.0,26.3,60.3,8.0
rice,Clay soil,97.6,40.1,56.3,28.3,60.9,7.9
rice,Alluvial soil,84.2,54.4,43.0,25.7,70.1,7.3
rice,Loamy soil,96.0,40.2,52.7,34.4,73.4,6.4
rice,Clay soil,90.7,48.5,40.4,25.1,76.7,5.6
rice,Alluvial soil,87.6,59.2,42.5,26.4,73.2,5.9
rice,Loamy soil,88.8,52.5,56.6,33.6,62.8,7.5
rice,Clay soil,86.9,54.1,59.4,35.3,71.9,7.1
rice,Alluvial soil,83.4,59.8,47.6,21.5,61.3,6.3
rice,Loamy soil,89.9,44.3,47.1,32.8,60.7,6.4
rice,Clay soil,86.3,53.3,57.8,22.8,78.6,6.9
rice,Alluvial soil,98.7,45.9,50.0,27.6,68.0,8.0
rice,Loamy soil,91.8,53.3,53.9,27.9,63.4,7.0
rice,Clay soil,84.3,54.6,50.8,34.9,79.6,5.0
rice,Alluvial soil,87.9,47.6,53.8,28.5,64.3,5.6
rice,Loamy soil,84.3,59.4,53.5,37.5,75.7,6.1
rice,Clay soil,86.7,59.4,44.7,23.5,65.8,5.8
rice,Alluvial soil,99.5,42.3,40.6,28.6,61.9,7.7
rice,Loamy soil,94.5,49.6,59.4,34.6,72.5,7.1
rice,Clay soil,85.2,54.9,53.1,34.9,79.9,6.0
rice,Alluvial soil,88.5,42.7,57.3,26.2,66.3,5.9
rice,Loamy soil,97.2,48.5,49.1,31.6,67.2,7.5
rice,Clay soil,99.8,54.4,44.8,20.2,69.3,6.1
rice,Alluvial soil,92.9,51.9,53.7,32.2,75.5,6.7
rice,Loamy soil,95.9,57.5,54.5,37.2,75.0,5.8
rice,Clay soil,93.6,45.0,55.1,31.6,66.3,6.8
rice,Alluvial soil,80.2,40.4,56.5,20.9,67.1,7.6
rice,Loamy soil,99.6,46.9,44.0,26.9,63.8,6.5
rice,Clay soil,96.8,43.2,58.9,30.0,62.1,6.3
rice,Alluvial soil,89.0,53.6,44.0,30.3,69.9,5.4
rice,Loamy soil,91.3,53.6,56.5,35.5,60.8,7.7
rice,Clay soil,87.7,42.4,58.2,30.8,63.4,5.0
rice,Alluvial soil,99.6,46.1,53.9,26.7,75.9,5.5
rice,Loamy soil,80.8,46.8,59.9,36.6,67.3,5.1
rice,Clay soil,82.2,44.4,56.6,39.2,69.2,6.0
rice,Alluvial soil,90.7,41.5,59.6,22.7,67.2,6.8
rice,Loamy soil,99.3,58.1,50.5,34.1,78.9,7.8
rice,Clay soil,97.6,47.1,58.3,38.3,60.1,5.2
rice,Alluvial soil,88.1,45.3,52.9,34.9,67.5,5.6
rice,Loamy soil,82.9,41.3,40.1,33.7,75.7,7.8
rice,Clay soil,89.1,59.1,46.7,31.7,76.7,7.9
rice,Alluvial soil,86.2,41.4,55.4,29.1,67.1,7.6
rice,Loamy soil,96.6,47.4,57.5,35.4,75.3,7.6
rice,Clay soil,90.0,43.5,59.9,28.2,75.5,5.0
rice,Alluvial soil,81.1,54.5,54.5,31.1,75.1,5.7
rice,Loamy soil,90.8,55.7,41.9,29.1,65.5,6.6
rice,Clay soil,85.3,53.5,42.0,25.1,70.3,5.4
rice,Alluvial soil,90.3,53.6,57.2,39.5,75.7,7.0
rice,Loamy soil,93.2,57.2,47.5,36.7,61.2,6.7
rice,Clay soil,81.9,53.7,57.8,20.2,72.8,6.0
rice,Alluvial soil,91.1,50.9,44.2,35.7,60.2,7.6
rice,Loamy soil,96.2,41.1,44.8,29.6,68.9,6.0
rice,Clay soil,94.8,43.8,54.9,38.3,63.7,7.8
rice,Alluvial soil,94.4,52.2,40.8,25.3,60.6,5.5
rice,Loamy soil,92.3,54.0,56.2,38.3,64.9,5.5
